survived,pclass,sex,age,sibsp,parch,fare,embarked,title,family_size,is_alone,cabin_letter,ticket_group_size,pclass_sex,isalone_age,title_fare,fare_perperson
0,3,0,1.0,1,0,0.0,0,2,2,0,0,1,0,0.0,0.0,0.0
1,1,1,2.0,1,0,3.0,1,3,2,0,3,1,1,0.0,9.0,3.0
1,3,1,1.0,0,0,1.0,0,1,1,1,0,1,3,1.0,1.0,1.0
1,1,1,2.0,1,0,3.0,0,3,2,0,3,2,1,0.0,9.0,1.5
0,3,0,2.0,0,0,1.0,0,2,1,1,0,1,0,2.0,2.0,1.0
0,3,0,1.0,0,0,1.0,2,2,1,1,0,1,0,1.0,2.0,1.0
0,1,0,3.0,0,0,3.0,0,2,1,1,5,1,0,3.0,6.0,3.0
0,3,0,0.0,3,1,2.0,0,0,5,0,0,4,0,0.0,0.0,0.5
1,3,1,1.0,0,2,1.0,0,3,3,0,0,3,3,0.0,3.0,0.3333333333333333
1,2,1,0.0,1,0,2.0,1,3,2,0,0,2,2,0.0,6.0,1.0
1,3,1,0.0,1,1,2.0,0,1,3,0,7,2,3,0.0,2.0,1.0
1,1,1,3.0,0,0,2.0,0,1,1,1,3,1,1,3.0,2.0,2.0
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,0,2.0,1,5,3.0,0,2,7,0,0,7,0,0.0,6.0,0.42857142857142855
0,3,1,0.0,0,0,0.0,0,1,1,1,0,1,3,0.0,0.0,0.0
1,2,1,3.0,0,0,2.0,0,3,1,1,0,1,2,3.0,6.0,2.0
0,3,0,0.0,4,1,2.0,2,0,6,0,0,5,0,0.0,0.0,0.4
1,2,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,1,1.0,1,0,2.0,0,3,2,0,0,1,3,0.0,6.0,2.0
1,3,1,1.0,0,0,0.0,1,3,1,1,0,1,3,1.0,0.0,0.0
0,2,0,2.0,0,0,2.0,0,2,1,1,0,2,0,2.0,4.0,1.0
1,2,0,2.0,0,0,1.0,0,2,1,1,4,1,0,2.0,2.0,1.0
1,3,1,0.0,0,0,1.0,2,1,1,1,0,1,3,0.0,1.0,1.0
1,1,0,1.0,0,0,3.0,0,2,1,1,1,1,0,1.0,6.0,3.0
0,3,1,0.0,3,1,2.0,0,1,5,0,0,4,3,0.0,2.0,0.5
1,3,1,2.0,1,5,3.0,0,3,7,0,0,4,3,0.0,9.0,0.75
0,3,0,1.0,0,0,0.0,1,2,1,1,0,1,0,1.0,0.0,0.0
0,1,0,1.0,3,2,3.0,0,2,6,0,3,4,0,0.0,6.0,0.75
1,3,1,1.0,0,0,0.0,2,1,1,1,0,1,3,1.0,0.0,0.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
0,1,0,2.0,0,0,2.0,1,4,1,1,0,1,0,2.0,8.0,2.0
1,1,1,1.0,1,0,3.0,1,3,2,0,2,2,1,0.0,9.0,1.5
1,3,1,1.0,0,0,0.0,2,1,1,1,0,1,3,1.0,0.0,0.0
0,2,0,4.0,0,0,1.0,0,2,1,1,0,1,0,4.0,2.0,1.0
0,1,0,1.0,1,0,3.0,1,2,2,0,0,2,0,0.0,6.0,1.5
0,1,0,2.0,1,0,3.0,0,2,2,0,0,2,0,0.0,6.0,1.5
1,3,0,1.0,0,0,0.0,1,2,1,1,0,1,0,1.0,0.0,0.0
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,1,1.0,2,0,2.0,0,1,3,0,0,2,3,0.0,2.0,1.0
1,3,1,0.0,1,0,1.0,1,1,2,0,0,2,3,0.0,1.0,0.5
0,3,1,2.0,1,0,1.0,0,3,2,0,0,1,3,0.0,3.0,1.0
0,2,1,1.0,1,0,2.0,0,3,2,0,0,2,2,0.0,6.0,1.0
0,3,0,1.0,0,0,0.0,1,2,1,1,0,1,0,1.0,0.0,0.0
1,2,1,0.0,1,2,3.0,1,1,4,0,0,3,2,0.0,3.0,1.0
1,3,1,1.0,0,0,0.0,2,1,1,1,0,1,3,1.0,0.0,0.0
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,0,1.0,1,0,2.0,2,2,2,0,0,1,0,0.0,4.0,2.0
1,3,1,1.0,0,0,0.0,2,1,1,1,0,1,3,1.0,0.0,0.0
0,3,0,1.0,2,0,2.0,1,2,3,0,0,1,0,0.0,4.0,2.0
0,3,1,1.0,1,0,2.0,0,3,2,0,0,2,3,0.0,6.0,1.0
0,3,0,0.0,4,1,3.0,0,0,6,0,0,6,0,0.0,0.0,0.5
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
1,1,1,3.0,1,0,3.0,1,3,2,0,4,3,1,0.0,9.0,1.0
1,2,1,1.0,1,0,2.0,0,3,2,0,0,1,2,0.0,6.0,2.0
0,1,0,4.0,0,1,3.0,1,2,2,0,2,1,0,0.0,6.0,3.0
1,1,0,1.0,0,0,3.0,0,2,1,1,3,1,0,1.0,6.0,3.0
1,2,1,1.0,0,0,1.0,0,1,1,1,0,1,2,1.0,1.0,1.0
0,3,0,1.0,0,0,0.0,1,2,1,1,0,1,0,1.0,0.0,0.0
1,2,1,0.0,1,2,2.0,0,1,4,0,0,3,2,0.0,2.0,0.6666666666666666
0,3,0,0.0,5,2,3.0,0,0,8,0,0,6,0,0.0,0.0,0.5
0,3,0,1.0,0,0,0.0,1,2,1,1,0,1,0,1.0,0.0,0.0
1,1,1,2.0,0,0,3.0,0,1,1,1,2,2,1,2.0,3.0,1.5
0,1,0,2.0,1,0,3.0,0,2,2,0,3,2,0,0.0,6.0,1.5
0,3,0,0.0,3,2,2.0,0,0,6,0,0,6,0,0.0,0.0,0.3333333333333333
0,1,0,1.0,0,0,2.0,1,2,1,1,0,1,0,1.0,4.0,2.0
1,3,0,1.0,1,1,2.0,1,0,3,0,0,2,0,0.0,0.0,1.0
1,2,1,1.0,0,0,1.0,0,3,1,1,6,1,2,1.0,3.0,1.0
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
1,3,1,1.0,4,2,1.0,0,1,7,0,0,1,3,0.0,1.0,1.0
0,3,0,1.0,2,0,1.0,0,2,3,0,0,1,0,0.0,2.0,1.0
0,2,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,1,0.0,5,2,3.0,0,1,8,0,0,6,3,0.0,3.0,0.5
0,2,0,1.0,0,0,3.0,0,2,1,1,0,5,0,1.0,6.0,0.6
0,3,0,1.0,1,0,2.0,1,2,2,0,0,1,0,0.0,4.0,2.0
1,3,0,1.0,0,0,3.0,0,2,1,1,0,7,0,1.0,6.0,0.42857142857142855
0,3,0,1.0,0,0,0.0,0,2,1,1,6,1,0,1.0,0.0,0.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
1,2,0,0.0,0,2,2.0,0,0,3,0,0,2,0,0.0,0.0,1.0
1,3,1,1.0,0,0,1.0,0,1,1,1,0,2,3,1.0,1.0,0.5
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
1,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
1,3,1,1.0,0,0,0.0,2,1,1,1,0,1,3,1.0,0.0,0.0
0,1,0,1.0,0,0,3.0,0,2,1,1,0,1,0,1.0,6.0,3.0
1,2,1,1.0,0,0,1.0,0,1,1,1,0,1,2,1.0,1.0,1.0
1,3,1,2.0,3,0,2.0,0,3,4,0,0,2,3,0.0,6.0,1.0
0,3,0,0.0,1,3,3.0,0,2,5,0,0,4,0,0.0,6.0,0.75
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
1,1,1,1.0,3,2,3.0,0,1,6,0,3,4,1,0.0,3.0,0.75
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
0,1,0,2.0,1,0,3.0,0,2,2,0,5,1,0,0.0,6.0,3.0
0,3,0,1.0,1,2,2.0,0,2,4,0,0,2,0,0.0,4.0,1.0
0,3,0,3.0,0,0,0.0,0,2,1,1,0,1,0,3.0,0.0,0.0
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,1,0,4.0,0,0,3.0,1,2,1,1,1,1,0,4.0,6.0,3.0
1,1,0,1.0,0,1,3.0,1,2,2,0,4,1,0,0.0,6.0,3.0
1,2,1,2.0,0,1,2.0,0,3,2,0,0,2,2,0.0,6.0,1.0
0,2,0,2.0,1,0,2.0,0,2,2,0,0,2,0,0.0,4.0,1.0
0,3,1,1.0,0,0,0.0,0,1,1,1,0,1,3,1.0,0.0,0.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
0,1,0,1.0,0,1,3.0,0,2,2,0,4,2,0,0.0,6.0,1.5
0,3,0,2.0,0,0,1.0,0,2,1,1,0,1,0,2.0,2.0,1.0
0,3,0,2.0,2,0,1.0,0,2,3,0,0,1,0,0.0,2.0,1.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
1,3,1,1.0,0,0,0.0,0,1,1,1,0,1,3,1.0,0.0,0.0
1,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
0,3,0,2.0,0,0,0.0,0,2,1,1,0,1,0,2.0,0.0,0.0
1,3,1,1.0,1,0,2.0,2,1,2,0,0,3,3,0.0,2.0,0.6666666666666666
0,1,0,2.0,0,0,3.0,0,2,1,1,3,2,0,2.0,6.0,1.5
0,3,1,0.0,1,0,2.0,1,1,2,0,0,2,3,0.0,2.0,1.0
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,1,1.0,1,0,1.0,0,1,2,0,0,1,3,0.0,1.0,1.0
0,3,1,1.0,0,0,2.0,1,1,1,1,0,2,3,1.0,2.0,1.0
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,0,4.0,0,0,0.0,2,2,1,1,0,1,0,4.0,0.0,0.0
0,2,0,1.0,1,0,2.0,0,2,2,0,0,2,0,0.0,4.0,1.0
0,1,0,1.0,0,1,3.0,1,2,2,0,2,2,0,0.0,6.0,1.5
0,3,1,0.0,4,2,3.0,0,1,7,0,0,7,3,0.0,3.0,0.42857142857142855
0,2,0,1.0,2,0,3.0,0,2,3,0,0,5,0,0.0,6.0,0.6
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,2,0,2.0,1,0,2.0,1,2,2,0,0,2,0,0.0,4.0,1.0
1,2,1,2.0,0,0,1.0,0,1,1,1,5,1,2,2.0,1.0,1.0
0,1,0,3.0,0,1,3.0,0,2,2,0,4,2,0,0.0,6.0,1.5
1,3,0,0.0,1,0,1.0,1,0,2,0,0,2,0,0.0,0.0,0.5
0,3,0,1.0,0,0,0.0,2,2,1,1,0,1,0,1.0,0.0,0.0
1,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
1,3,1,1.0,1,1,2.0,1,1,3,0,6,2,3,0.0,2.0,1.0
0,3,0,2.0,0,0,0.0,0,2,1,1,0,1,0,2.0,0.0,0.0
0,3,0,2.0,0,0,0.0,1,2,1,1,0,1,0,2.0,0.0,0.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
0,3,1,2.0,1,0,2.0,0,3,2,0,0,1,3,0.0,6.0,2.0
1,2,1,1.0,1,0,2.0,0,3,2,0,0,1,2,0.0,6.0,2.0
0,2,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,2,0,1.0,0,0,2.0,1,2,1,1,0,1,0,1.0,4.0,2.0
1,1,1,1.0,0,2,2.0,0,1,3,0,4,1,1,0.0,2.0,2.0
0,1,0,2.0,1,0,3.0,0,2,2,0,3,2,0,0.0,6.0,1.5
0,3,0,0.0,0,0,1.0,0,2,1,1,0,2,0,0.0,2.0,0.5
0,1,0,1.0,0,0,3.0,1,2,1,1,2,2,0,1.0,6.0,1.5
0,3,1,1.0,0,2,2.0,1,3,3,0,0,2,3,0.0,6.0,1.0
1,3,1,1.0,0,0,0.0,0,1,1,1,0,1,3,1.0,0.0,0.0
1,3,1,1.0,1,0,2.0,0,3,2,0,0,2,3,0.0,6.0,1.0
0,3,0,1.0,0,0,0.0,2,2,1,1,0,1,0,1.0,0.0,0.0
0,2,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,2,0,1.0,1,1,3.0,0,2,3,0,0,2,0,0.0,6.0,1.5
1,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
0,3,1,0.0,2,2,3.0,0,1,5,0,0,4,3,0.0,3.0,0.75
0,2,0,2.0,0,2,2.0,0,2,3,0,6,3,0,0.0,4.0,0.6666666666666666
0,2,0,2.0,0,0,1.0,0,4,1,1,0,1,0,2.0,4.0,1.0
0,2,0,3.0,0,0,1.0,0,4,1,1,0,1,0,3.0,4.0,1.0
1,1,1,1.0,1,0,3.0,0,3,2,0,3,2,1,0.0,9.0,1.5
0,3,0,3.0,0,0,1.0,0,2,1,1,0,1,0,3.0,2.0,1.0
0,3,0,2.0,0,2,2.0,0,2,3,0,0,1,0,0.0,4.0,2.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
0,1,0,3.0,0,1,3.0,1,2,2,0,0,1,0,0.0,6.0,3.0
1,3,1,0.0,0,0,0.0,2,1,1,1,0,1,3,0.0,0.0,0.0
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,0,1.0,8,2,3.0,0,0,11,0,0,7,0,0.0,0.0,0.42857142857142855
0,3,0,2.0,0,1,2.0,0,2,2,0,0,1,0,0.0,4.0,2.0
1,2,1,2.0,0,0,2.0,0,3,1,1,0,1,2,2.0,6.0,2.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,0,0.0,4,1,3.0,0,0,6,0,0,6,0,0.0,0.0,0.5
1,3,0,0.0,0,2,2.0,0,0,3,0,0,3,0,0.0,0.0,0.6666666666666666
1,1,1,1.0,0,1,3.0,0,3,2,0,5,2,1,0.0,9.0,1.5
0,3,1,2.0,1,4,2.0,0,3,6,0,0,6,3,0.0,6.0,0.3333333333333333
0,1,0,1.0,0,0,2.0,0,2,1,1,0,1,0,1.0,4.0,2.0
0,3,0,1.0,0,0,3.0,0,2,1,1,0,7,0,1.0,6.0,0.42857142857142855
0,1,0,3.0,0,0,3.0,0,2,1,1,2,1,0,3.0,6.0,3.0
0,3,0,0.0,4,1,2.0,2,0,6,0,0,5,0,0.0,0.0,0.4
1,3,1,0.0,1,1,1.0,0,1,3,0,0,3,3,0.0,1.0,0.3333333333333333
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,1,0,3.0,0,0,2.0,1,2,1,1,1,1,0,3.0,4.0,2.0
0,3,0,1.0,1,1,0.0,0,2,3,0,0,1,0,0.0,0.0,0.0
0,3,0,1.0,3,1,2.0,0,0,5,0,0,4,0,0.0,0.0,0.5
0,1,1,3.0,0,0,2.0,1,1,1,1,3,1,1,3.0,2.0,2.0
0,2,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,0,2.0,0,0,0.0,0,2,1,1,0,4,0,2.0,0.0,0.0
0,3,1,1.0,8,2,3.0,0,1,11,0,0,7,3,0.0,3.0,0.42857142857142855
0,2,0,1.0,0,0,2.0,1,2,1,1,0,1,0,1.0,4.0,2.0
0,3,0,0.0,4,2,3.0,0,0,7,0,0,4,0,0.0,0.0,0.75
1,2,0,0.0,2,1,3.0,0,0,4,0,6,2,0,0.0,0.0,1.5
1,3,1,0.0,0,2,2.0,0,1,3,0,0,1,3,0.0,2.0,2.0
0,1,0,1.0,0,0,3.0,0,2,1,1,1,1,0,1.0,6.0,3.0
1,3,1,1.0,1,0,2.0,2,3,2,0,0,2,3,0.0,6.0,1.0
1,1,0,2.0,0,0,2.0,0,2,1,1,0,1,0,2.0,4.0,2.0
0,3,0,2.0,1,1,2.0,2,2,3,0,0,2,0,0.0,4.0,1.0
0,3,0,2.0,0,0,0.0,0,2,1,1,0,1,0,2.0,0.0,0.0
1,2,1,1.0,0,0,1.0,0,3,1,1,0,1,2,1.0,3.0,1.0
0,2,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
1,3,1,1.0,1,0,0.0,0,1,2,0,0,1,3,0.0,0.0,0.0
1,2,0,0.0,1,1,2.0,0,0,3,0,6,3,0,0.0,0.0,0.6666666666666666
1,1,1,2.0,0,0,2.0,1,3,1,1,2,1,1,2.0,6.0,2.0
1,1,1,3.0,0,0,3.0,1,1,1,1,2,2,1,3.0,3.0,1.5
0,3,0,1.0,0,0,0.0,2,2,1,1,0,1,0,1.0,0.0,0.0
0,3,0,2.0,0,1,1.0,0,2,2,0,0,1,0,0.0,2.0,1.0
1,3,1,1.0,0,0,0.0,2,1,1,1,0,1,3,1.0,0.0,0.0
0,2,1,1.0,0,0,1.0,0,1,1,1,0,1,2,1.0,1.0,1.0
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,0,1.0,8,2,3.0,0,2,11,0,0,7,0,0.0,6.0,0.42857142857142855
0,3,0,2.0,0,0,0.0,0,2,1,1,0,1,0,2.0,0.0,0.0
0,3,0,2.0,0,0,0.0,1,2,1,1,0,1,0,2.0,0.0,0.0
1,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,1,0.0,0,1,1.0,0,1,2,0,7,2,3,0.0,1.0,0.5
0,3,0,1.0,1,0,2.0,0,2,2,0,0,2,0,0.0,4.0,1.0
1,3,0,1.0,0,0,2.0,1,2,1,1,0,2,0,1.0,4.0,1.0
1,3,1,0.0,0,0,0.0,2,1,1,1,0,1,3,0.0,0.0,0.0
1,1,0,2.0,0,0,2.0,1,2,1,1,1,1,0,2.0,4.0,2.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
1,2,1,2.0,0,0,2.0,0,1,1,1,0,1,2,2.0,2.0,2.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
0,2,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,0,1.0,1,0,0.0,2,2,2,0,0,1,0,0.0,0.0,0.0
1,1,1,1.0,1,0,3.0,1,1,2,0,4,3,1,0.0,3.0,1.0
1,3,1,1.0,0,0,1.0,0,1,1,1,0,1,3,1.0,1.0,1.0
0,2,0,2.0,1,0,2.0,0,2,2,0,0,2,0,0.0,4.0,1.0
1,1,1,1.0,0,0,3.0,1,1,1,1,4,1,1,1.0,3.0,3.0
0,2,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
1,3,0,0.0,0,0,1.0,0,2,1,1,0,1,0,0.0,2.0,1.0
0,2,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,0,3.0,0,0,1.0,0,2,1,1,0,1,0,3.0,2.0,1.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
1,1,0,2.0,1,0,3.0,0,2,2,0,3,2,0,0.0,6.0,1.5
0,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
1,2,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
0,2,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,1,1.0,3,1,2.0,0,1,5,0,0,4,3,0.0,2.0,0.5
1,1,1,2.0,1,0,3.0,0,3,2,0,3,2,1,0.0,9.0,1.5
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
0,2,0,3.0,0,0,1.0,0,2,1,1,0,1,0,3.0,2.0,1.0
1,3,1,0.0,4,2,3.0,0,1,7,0,0,4,3,0.0,3.0,0.75
0,2,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,1,1.0,0,0,0.0,0,1,1,1,0,1,3,1.0,0.0,0.0
0,2,0,2.0,1,0,2.0,0,2,2,0,0,1,0,0.0,4.0,2.0
1,2,1,0.0,0,2,2.0,0,1,3,0,0,3,2,0.0,2.0,0.6666666666666666
0,2,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,2,0,2.0,0,0,1.0,0,2,1,1,0,1,0,2.0,2.0,1.0
0,3,1,1.0,1,0,2.0,1,1,2,0,0,2,3,0.0,2.0,1.0
1,3,1,1.0,1,0,2.0,2,1,2,0,0,2,3,0.0,2.0,1.0
0,2,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
0,3,0,1.0,0,0,0.0,1,2,1,1,0,1,0,1.0,0.0,0.0
0,1,0,2.0,2,0,3.0,2,4,3,0,3,2,0,0.0,12.0,1.5
0,3,1,1.0,0,0,0.0,0,1,1,1,0,1,3,1.0,0.0,0.0
1,2,1,1.0,0,2,2.0,0,3,3,0,0,2,2,0.0,6.0,1.0
1,1,0,2.0,1,1,3.0,0,2,3,0,4,2,0,0.0,6.0,1.5
0,2,0,3.0,1,0,2.0,0,4,2,0,0,2,0,0.0,8.0,1.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
0,3,1,1.0,1,1,1.0,0,3,3,0,7,2,3,0.0,3.0,0.5
0,1,0,3.0,0,0,2.0,0,2,1,1,3,1,0,3.0,4.0,2.0
0,3,0,1.0,1,0,2.0,0,2,2,0,0,2,0,0.0,4.0,1.0
0,3,1,2.0,0,2,2.0,0,3,3,0,0,2,3,0.0,6.0,1.0
1,3,1,1.0,0,2,2.0,1,3,3,0,0,1,3,0.0,6.0,2.0
1,1,1,1.0,0,0,3.0,1,3,1,1,0,1,1,1.0,9.0,3.0
1,1,1,1.0,0,0,3.0,0,1,1,1,2,3,1,1.0,3.0,1.0
1,1,1,2.0,0,0,3.0,1,1,1,1,0,3,1,2.0,3.0,1.0
1,2,1,3.0,0,1,2.0,0,3,2,0,0,2,2,0.0,6.0,1.0
0,3,0,1.0,0,0,0.0,2,2,1,1,0,1,0,1.0,0.0,0.0
1,3,0,0.0,4,2,3.0,0,0,7,0,0,4,0,0.0,0.0,0.75
0,1,0,3.0,1,1,3.0,0,2,3,0,5,3,0,0.0,6.0,1.0
0,1,0,2.0,0,0,0.0,0,2,1,1,2,1,0,2.0,0.0,0.0
0,3,1,1.0,0,0,0.0,2,1,1,1,0,1,3,1.0,0.0,0.0
0,2,0,2.0,0,0,1.0,0,2,1,1,0,1,0,2.0,2.0,1.0
0,3,0,0.0,4,1,3.0,0,2,6,0,0,6,0,0.0,6.0,0.5
1,3,0,1.0,1,0,0.0,0,2,2,0,0,1,0,0.0,0.0,0.0
1,1,1,3.0,0,1,3.0,0,3,2,0,3,3,1,0.0,9.0,1.0
1,1,1,2.0,0,0,3.0,0,1,1,1,3,3,1,2.0,3.0,1.0
0,1,0,1.0,0,0,2.0,0,2,1,1,0,2,0,1.0,4.0,1.0
1,3,0,1.0,0,0,0.0,0,2,1,1,0,4,0,1.0,0.0,0.0
1,2,1,2.0,0,1,2.0,0,3,2,0,0,2,2,0.0,6.0,1.0
0,1,0,2.0,0,1,2.0,1,2,2,0,3,1,0,0.0,4.0,2.0
1,3,1,1.0,0,0,0.0,2,1,1,1,0,1,3,1.0,0.0,0.0
1,1,1,3.0,1,0,3.0,0,1,2,0,4,3,1,0.0,3.0,1.0
0,3,1,2.0,0,0,0.0,0,1,1,1,0,1,3,2.0,0.0,0.0
0,2,0,1.0,0,0,0.0,0,2,1,1,0,3,0,1.0,0.0,0.0
0,3,0,0.0,4,1,2.0,2,0,6,0,0,5,0,0.0,0.0,0.4
1,3,1,2.0,1,1,2.0,0,3,3,0,0,2,3,0.0,6.0,1.0
0,3,0,4.0,0,0,0.0,2,2,1,1,0,1,0,4.0,0.0,0.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
0,3,0,0.0,0,0,1.0,0,2,1,1,0,1,0,0.0,2.0,1.0
1,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,1,0,1.0,0,0,2.0,0,2,1,1,1,1,0,1.0,4.0,2.0
0,3,0,2.0,0,0,1.0,1,2,1,1,0,1,0,2.0,2.0,1.0
1,3,0,1.0,0,0,1.0,0,2,1,1,0,1,0,1.0,2.0,1.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
1,2,0,2.0,0,0,1.0,0,2,1,1,0,1,0,2.0,2.0,1.0
1,3,1,1.0,0,0,0.0,2,1,1,1,0,1,3,1.0,0.0,0.0
1,1,1,1.0,0,0,3.0,0,1,1,1,0,2,1,1.0,3.0,1.5
1,1,1,1.0,1,0,3.0,1,3,2,0,2,2,1,0.0,9.0,1.5
0,2,0,2.0,0,0,1.0,1,2,1,1,4,1,0,2.0,2.0,1.0
0,3,1,1.0,0,0,1.0,0,1,1,1,0,1,3,1.0,1.0,1.0
0,3,0,1.0,0,0,0.0,0,2,1,1,0,1,0,1.0,0.0,0.0
